Mlčící pacientka	Alex Michaelides	Thriller,Román	Slavná malířka Alicia Berensonová měla idylické manželství. A pak jednoho dne svého muže zastřelila. Do záhadného případu nemá kdo vnést světlo, protože Alicia od vraždy už šest let nepromluvila ani slovo. Její mlčení chce prolomit psychoterapeut Theo Faber, pro kterého se na první pohled nelogická vražda stane posedlostí. Řešení se možná skrývá v jednom z Aliciiných obrazů. Je však Theo připraven zjistit pravdu? (Založil/a: icekafe)
legie.info	Harry Potter a kámen mudrců	Joanne Kathleen Rowling	1. kniha série Harry Potter.Příběh plný divů a hříček, v němž nepochybně najdou zalíbení všichni fantastové od devíti do devadesáti devíti let i více. Neznámou mladou britskou autorku učinila její prvotina rázem slavnou, když za ni v roce 1997 dostala prestižní Zlatou cenu (Smarties Book Prize) a její Harry Potter se rozletěl na triumfální turné do světa. Až do svých jedenáctých narozenin si o sobě tento hrdina myslel, že je jen obyčejný chlapec. Pak ale dostal soví poštou dopis, kterým byl zván ke studiu na prestižní soukromé Škole čar a kouzel v Bradavicích, a jeho život se rázem změnil. Leccos se dozvídá o minulosti svých zemřelých rodičů, získá pár dobrých kamarádů, naučí se mistrovsky hrát famfrpál a kvůli Kameni mudrců podstoupí smrtelný souboj se zloduchem Voldemortem…
